id;coupon_id;coupon_code;coupon_value;coupon_use_times;coupon_expire_datetime;create_by;create_datetime;last_modified_by;last_modified_datetime
1;e08d2d64-b521-4ca5-bb5a-728607d83e64;台灣省 non-volatile;7454;36617;2023-10-25T05:20:44;Som generating Sleek;2023-10-24T06:15:26;Boliviano;2023-10-24T07:52:52
2;edee96df-d914-4290-9ac6-e0b41f8bb60c;Handmade;57992;69494;2023-10-24T10:05:51;Automotive;2023-10-25T02:06:37;東路 Loan Director;2023-10-24T16:35:27
3;9fb6d262-b686-403a-801e-d77b6daf1e92;yellow Greece;41016;73315;2023-10-24T10:08:18;contextually-based;2023-10-25T02:22:16;withdrawal Corporate Soft;2023-10-24T13:50:50
4;a6619f22-bea8-40ba-a496-772f40027ba8;auxiliary Loan;25149;97388;2023-10-24T17:41:31;withdrawal 北路 compress;2023-10-24T13:58:38;Serbian haptic deposit;2023-10-24T22:35:39
5;ba5d9e1e-3158-4af4-8df0-ccf9b0314f6d;Salad Granite methodologies;41361;11059;2023-10-24T17:44:09;cross-platform Dynamic;2023-10-24T08:43:50;optical benchmark Loan;2023-10-24T22:14:21
6;dcff1249-37f4-4f59-9ef2-2d2b65220785;Regional;38527;33543;2023-10-25T04:08:56;JBOD Dynamic;2023-10-24T13:58:16;Optimization Expanded RAM;2023-10-25T02:44:15
7;2ea8ecd3-8cd1-46e9-9d0c-2e4d8250e043;primary benchmark;51262;91336;2023-10-24T09:22:18;Cambridgeshire;2023-10-24T15:23:06;Bacon;2023-10-25T01:10:46
8;e1b75598-1d91-4d12-a2ce-12461d29d4ae;sensor Innovative Steel;9989;44278;2023-10-24T07:33:45;Gorgeous 台灣省;2023-10-24T06:07:48;Implemented enhance deposit;2023-10-25T02:33:54
9;c058d5e7-0668-4f52-b397-09377b95af4f;Licensed;2584;19949;2023-10-25T01:07:09;teal quantifying;2023-10-24T09:15:59;Fish microchip Granite;2023-10-24T18:01:03
10;fee227fc-7151-4ffb-bb88-c2d2d495b03b;東路 Soft;79444;95434;2023-10-25T04:43:19;Direct Manager;2023-10-25T05:15:55;西路;2023-10-24T19:12:50
