id;order_id;user_id;pay_method;delivery_location;total_price;delivery_time;order_status;coupon;create_by;create_datetime;last_modified_by;last_modified_datetime
1;75bbbeca-5faa-49a0-b384-ec78767c7f9c;42e95a0d-7960-4669-abb9-78d726b2279f;Finland Small generate;web-enabled Oro Awesome;30351;2023-10-24T18:05:30;tan;Gorgeous proactive;東路;2023-10-24T10:54:17;protocol programming Cambridgeshire;2023-10-25T02:07:48
2;6279fbca-d802-4d06-9c8f-9d45274aa7ed;aced1127-0f4b-4f5e-a249-f1d27d2c11f4;Concrete;路 cohesive Denar;62368;2023-10-24T23:31:29;Mouse Industrial overriding;Dynamic SSL Chips;Mexico Licensed niches;2023-10-24T22:12:54;Communications 24/7 Avon;2023-10-24T06:43:49
3;f6a8ac49-0de4-4e6c-a226-328a48a93e41;f87808cf-3a58-4cf3-9b95-4cbc874d9f26;Avon Quality Enhanced;Caribbean;9705;2023-10-24T08:30:53;programming Oro;Lari Savings Refined;virtual Account;2023-10-25T03:45:21;Aruba;2023-10-24T23:53:13
4;2ba4276a-8e81-40d1-99fe-0caca9933db8;b6d6c611-2952-4b6d-abd1-e81ce98aea0d;cross-platform;Cheese Sports;94647;2023-10-24T12:28:39;AGP repurpose;withdrawal;Account;2023-10-24T06:41:06;sexy Multi-tiered;2023-10-24T21:46:21
5;6f498a71-8b9b-498e-8e20-95e2cbbff141;4a407e4f-259e-45d6-959a-b52a88e26aaf;Grocery Multi-tiered;blue;39959;2023-10-24T14:01:02;deposit blue;virtual Cheese Cambridgeshire;compressing;2023-10-25T00:10:27;Synergized tolerance Auto;2023-10-25T01:13:22
6;bbc8411f-37a5-4d92-99f9-a4a7c2bb1748;1bb90ed1-49f8-4352-b8f1-bcd3ae24e075;Manager invoice Rustic;Computer;94878;2023-10-24T06:51:13;morph;Mouse;brand;2023-10-24T21:35:32;Albania;2023-10-24T22:48:44
7;3713d113-1ffb-4f71-92dc-d33a1aecf77b;1fc8961b-4c09-4345-b5ba-0bf8afed499f;Eritrea synergize;feed;41863;2023-10-24T15:04:22;Garden Buckinghamshire 福建省;Books withdrawal;application Euro Assurance;2023-10-25T02:28:51;functionalities;2023-10-24T23:58:42
8;fd94bc9d-99f9-4079-aab6-c060cc66ead5;d7dbbb08-36a4-4c24-9cb0-804a74cd9370;transparent Product;capacitor;43468;2023-10-24T10:25:30;Account;AGP transitional;Agent;2023-10-25T00:45:01;Configuration transmit Kids;2023-10-24T12:33:02
9;65b10a3b-76c6-47ae-b654-412cf731c48a;c8b2ff36-bca2-437a-be5b-bf0d30cd85f1;Awesome;Netherlands THX;93191;2023-10-24T10:26:02;Soft up;access Chicken;Garden Toys local;2023-10-24T11:57:41;envisioneer connecting;2023-10-24T12:11:29
10;b20d8bfa-e3eb-463c-a089-41ac9a8415da;d4c6388b-2ae9-42d5-aa29-ac3d946250cc;Account Korea;reboot scalable Compatible;59981;2023-10-24T20:35:40;Rubber;Bedfordshire;granular 街 hierarchy;2023-10-24T06:26:31;invoice French;2023-10-24T18:15:42
