id;drink_id;drink_name;sugar;ice;hot;toppings;drink_size;drink_price;drink_picture_url;create_by;create_datetime;last_modified_by;last_modified_datetime
1;4e2a8556-1f2e-4f11-bbde-02ccce313774;leverage non-volatile generate;true;false;false;payment;false;93942;empower matrix;asymmetric;2023-10-23T13:42:38;Avon Berkshire;2023-10-22T23:11:08
2;ab4daef0-f806-4e61-ad5a-2bf39ec3cf09;parsing;true;true;false;Legacy utilize Car;true;94981;IB;Home Berkshire structure;2023-10-23T11:35:13;XML index haptic;2023-10-23T02:50:52
3;f41482f5-100b-4be4-a5cb-53a731a21f69;Hat ROI;true;false;true;compress throughput auxiliary;true;49879;Intelligent;台灣省;2023-10-23T06:56:01;Angola Designer invoice;2023-10-23T01:37:22
4;d03e3844-2c73-4a96-90fe-63183fd7e127;synthesizing secondary;true;true;true;Forward quantifying Ukraine;false;28026;Soft 街 the;Rubber Franc seamless;2023-10-22T21:48:24;Visionary;2023-10-23T06:22:12
5;5dbd46d6-4803-4bf6-94de-7a4506b97eb1;deposit;false;true;true;Account engage firewall;false;6804;embrace;Loan Armenia Mobility;2023-10-23T03:13:37;grow redundant;2023-10-23T13:21:52
6;09c8af57-7cea-489c-a262-50cc4c3c006b;Ergonomic;false;true;false;Usability;true;11458;card virtual;calculate SMTP Implementation;2023-10-23T01:17:53;Plastic;2023-10-23T08:05:21
7;8990b22a-6875-4d1c-bed0-66118d00bca1;enterprise Chair bypass;true;false;true;Rubber;true;61275;福建省 RSS e-markets;end-to-end National;2023-10-23T13:31:10;Bedfordshire Internal;2023-10-23T14:11:28
8;2d1f600c-250e-4f2d-81b1-98bfeca877f3;南路;false;false;true;Borders Directives;false;90828;Intelligent help-desk 台灣省;Intelligent;2023-10-23T12:54:22;Cambridgeshire end-to-end Internal;2023-10-22T15:36:57
9;b4e899b4-51cd-4f01-8ae9-650c05a07343;Forward Coordinator Borders;false;false;true;reciprocal China Towels;false;52998;Ergonomic efficient;Brand Baby Metal;2023-10-22T19:45:34;Pakistan Greece;2023-10-23T06:02:36
10;20867e98-a711-43a2-ab61-3b81bf526adf;International;false;true;false;Health;false;73820;deposit;Estonia;2023-10-23T05:15:09;Principal;2023-10-23T03:26:27
