id;order_id;drink_id;sugar;ice;toppings;drink_size;drink_price
1;080995b0-73ca-4fb8-8301-400b38da22e8;14ac49c8-c2a9-4f7f-b535-fc96371cabdd;supply-chains SQL Tuvalu;National;Practical;calculating;92212
2;a4e5393d-456d-45e4-9331-b6997261a5df;a9b76830-d724-4dfd-9676-901f5493cda7;台灣省 Usability Buckinghamshire;Practical;台灣省;efficient;56692
3;1d704303-a638-41a0-9b58-084f240a6f0c;b016bfd3-c4d5-4dd1-b20e-b4799fd845c9;generate portal;ADP Future Rubber;福建省 fuchsia;1080p;92567
4;eaf90929-8117-4e32-aa23-ac5844c3b65e;40fd278e-419e-41d3-ad76-db76763f386e;Tajikistan value-added;program;reintermediate International;Latvian;96963
5;cd4e2373-f806-426d-961a-7ab26c202021;b5233e86-036f-45e8-a2c7-7a7f9cdf33c1;Intuitive Franc;magnetic;西路 1080p;quantifying architect;42247
6;d4df4ea5-3cac-4b54-9c23-6ebbaa7e93fb;d58ff70d-3074-49b4-b0ba-cad774b32e82;Ball;SMS;JSON efficient;Personal Checking metrics;97486
7;e6704e13-6cd6-4e1f-8b07-20d5c5d86bbc;ceec092c-a0ca-4bc4-b332-4f6b34a84138;convergence vortals Associate;Music strategize Mouse;西路;conglomeration Global;63808
8;41a71b6c-27f7-47bf-a19c-b07566a3c972;0d38488b-4135-4298-8fde-b41621e2b698;lavender;Coordinator Computer;街;interactive Games Rand;83956
9;c90d7066-e59b-4bc2-8511-cfb7b181a902;4f7b9365-38d7-463c-8f9b-de048eba7bed;hacking Borders Avon;synthesize invoice;parsing Security;Metal invoice;87096
10;07cfc574-842c-4234-90fa-5f873fd8b035;772e29b0-357d-4069-9782-da6b9eef54c8;copy;UAE Accountability;supply-chains;backing 台灣省;59107
