id;user_id;drink_id;sugar;ice;toppings;drink_size
1;895ed8f3-aca8-4c1e-a4df-d147349f14fb;73cda831-b2d9-4a57-bbbb-e09fab6318b8;invoice;Steel;paradigms empowering;Music Small
2;01f5d951-0720-4c2c-8a47-110612bc5b5c;dca5e263-bf64-4e49-967e-2f96a7d23b53;schemas salmon 24/7;SMTP deposit;西路;Baby
3;e40ad06b-1682-4996-bcc5-efd57e55e4df;f47c3e85-3e3e-4409-bd96-295e5b1cba82;Bike generate Cambridgeshire;Infrastructure Computers Nigeria;open-source;application
4;acc9914c-c533-41cc-8c16-e57284f23a8c;9ce1cbbc-8f08-4334-95a3-566816af633f;東路 transmitting;1080p;Automotive Monitored;support transmitting
5;aea3aa5d-06a1-4396-a5e3-bb5c8c653d69;f7b04ae4-35ee-477f-8d6a-4b90f894f09a;applications EXE;Communications;Granite Reunion Triple-buffered;Metal Baby synthesizing
6;71e6de13-1256-419c-ab72-7613920592d2;2c16549c-f4e6-4fda-bb39-7dcf406ed459;enable 北路 exploit;pink SMTP maximize;olive;concept
7;eb35aec5-5990-4754-975c-921cd3370b6b;3272d392-3d74-4ced-a21e-d8d9246436d5;CSS Handcrafted;parse Account;functionalities;Bacon non-volatile
8;4ccbf9dc-7824-467f-b4dd-766c5a9e7827;6d8c9a62-6645-4a8b-a835-ff439801bd4a;UIC-Franc;Borders compress;Berkshire AGP motivating;Regional Fish B2B
9;9485fab4-ee42-4fac-93e5-4a517752667c;290a67a1-b833-4346-af68-d8f71745b5b1;Uganda Program;AI invoice state;Armenia 福建省;facilitate innovative Bedfordshire
10;2dfc992c-5284-4817-81f7-25b5f4aedd44;136b139b-3c80-4ce9-9ec7-8e2159f65fd8;intangible PCI;withdrawal;product Sausages;IB Manager lime
